PIN,Property Address,Most Recent Date Sale,Deed No.,Most Recent Sale Price,Pure Market Indicator,Estimate (Land),Estimate (Building),First Pass Value 1,First Pass Value 2,Land Value,Improvement Value,First Pass Value 3,First Pass Value 4,First Pass Value 5,First Pass Value 6,First Pass Value 7
11181030200000,,,,,,,,955137,955137,57378,897759,955137,955137,955137,955137,
11181080180000,,,,,,,,977506,977506,49385,928121,977506,977506,977506,977506,
11181080320000,,,,,,,,1163146,1163146,97027,1066119,1163146,1163146,1163146,1163146,
11071060220000,,,,,,,,995812,1020707,70525,950182,1020707,1020707,1020707,1020707,
05354070200000,,,,,,,,1731529,1688240,132778,1555462,1688240,1688240,1688240,1688240,
11071160260000,,,,,,,,1892244,1844937,144690,1700247,1844937,1844937,1844937,1844937,
11072050040000,,,,,,,,1569453,1530217,135954,1394263,1530217,1530217,1530217,1530217,
11072070140000,,,,,,,,2391651,2331859,226044,2105815,2331859,2331859,2331859,2331859,
11181100230000,,,,,,,,1802657,1757591,100555,1657036,1757591,1757591,1757591,1757591,
11181100260000,,,,,,,,1389670,1354928,100555,1254373,1354928,1354928,1354928,1354928,
11192100160000,,,,,,,,1879574,1879574,144008,1735566,1879574,1879574,1879574,1879574,
11184210020000,,,,,,,,2393503,2991878,378824,2613054,2991878,2991878,2991878,2991878,
11184050070000,,,,,,,,2189613,2189613,91000,2098613,2189613,2189613,2189613,2189613,
11184110020000,,,,,,,,1397752,1397752,81900,1315852,1397752,1397752,1397752,1397752,
11184160030000,,,,,,,,1868554,1868554,95550,1773004,1868554,1868554,1868554,1868554,
11184160110000,,,,,,,,2300303,2300303,187278,2113025,2300303,2300303,2300303,2300303,
11184170030000,,,,,,,,2738237,2738237,272090,2466147,2738237,2738237,2738237,2738237,
11184170110000,,,,,,,,1853761,1853761,203385,1650376,1853761,1853761,1853761,1853761,
11184180190000,,,,,,,,1531599,1531599,103048,1428551,1531599,1531599,1531599,1531599,
11184190120000,,,,,,,,2087493,2087493,86450,2001043,2087493,2087493,2087493,2087493,
11184190150000,,,,,,,,1117323,1117323,86450,1030873,1117323,1117323,1117323,1117323,
11192020150000,,,,,,,,1538159,1538159,97825,1440334,1538159,1538159,1538159,1538159,
11192020160000,,,,,,,,1262633,1262633,97825,1164808,1262633,1262633,1262633,1262633,
11192020210000,,,,,,,,1705755,1705755,156520,1549235,1705755,1705755,1705755,1705755,
11192090020000,,,,,,,,1972885,1972885,97825,1875060,1972885,1972885,1972885,1972885,
11192090030000,,,,,,,,2071481,2071481,195650,1875831,2071481,2071481,2071481,2071481,
11192090040000,,,,,,,,1660413,1660413,97825,1562588,1660413,1660413,1660413,1660413,
11192100070000,,,,,,,,1821998,1821998,102375,1719623,1821998,1821998,1821998,1821998,
11192170120000,,,,,,,,1372291,1372291,65520,1306771,1372291,1372291,1372291,1372291,
11192180020000,,,,,,,,1808602,1808602,94868,1713734,1808602,1808602,1808602,1808602,
11192180030000,,,,,,,,1592247,1592247,103740,1488507,1592247,1592247,1592247,1592247,
